Date,Price,Open,High,Low,Volume,Chg%
"Feb 14, 2024",585.5,597.25,597.75,577.5,84.59K,-2.01%
"Feb 13, 2024",597.5,597,603.5,592.25,82.48K,0.00%
"Feb 12, 2024",597.5,596.25,603,588.5,69.03K,0.13%
"Feb 09, 2024",596.75,591.25,605.5,588,100.82K,1.40%
"Feb 08, 2024",588.5,601.25,602,583.75,78.67K,-2.24%
"Feb 07, 2024",602,594.75,606.75,590.75,79.58K,1.18%
"Feb 06, 2024",595,590.5,597.5,588,47.58K,0.80%
"Feb 05, 2024",590.25,600,601.75,586.75,51.24K,-1.58%
"Feb 02, 2024",599.75,601.5,611.5,595.75,66.72K,-0.29%
"Feb 01, 2024",601.5,595.25,603,587,62.58K,1.05%
"Jan 31, 2024",595.25,605,605,591.75,43.15K,-1.69%
"Jan 30, 2024",605.5,593.5,606.75,584.5,51.99K,2.02%
"Jan 29, 2024",593.5,601.25,601.75,587.5,41.48K,-1.12%
"Jan 26, 2024",600.25,612,614,592.25,69.59K,-1.96%
"Jan 25, 2024",612.25,611.5,617.25,606.5,54.71K,0.25%
"Jan 24, 2024",610.75,598,612.25,596.5,56.70K,2.39%
"Jan 23, 2024",596.5,596,606.75,593.75,42.18K,0.00%
"Jan 22, 2024",596.5,593.5,600.25,587,36.37K,0.55%
"Jan 19, 2024",593.25,586.25,598,584.75,48.39K,1.32%
"Jan 18, 2024",585.5,583.5,587,573.25,50.95K,0.52%
"Jan 17, 2024",582.5,581.5,595.75,577.75,69.55K,0.09%
"Jan 16, 2024",582,596,602.25,576.75,61.37K,-2.35%
"Jan 12, 2024",596,604,611.75,587.25,82.71K,-1.28%
"Jan 11, 2024",603.75,610,614.75,602,38.91K,-1.15%
"Jan 10, 2024",610.75,610.25,612,603.75,40.39K,0.12%
"Jan 09, 2024",610,596,613.75,594,57.13K,2.31%
"Jan 08, 2024",596.25,617,617.25,593,70.38K,-3.21%
"Jan 05, 2024",616,613,621.5,611.5,43.10K,0.41%
"Jan 04, 2024",613.5,601.5,614.5,591.25,63.69K,2.21%
"Jan 03, 2024",600.25,608,609.75,598.25,64.00K,-1.07%
"Jan 02, 2024",606.75,628.75,628.75,604.75,61.47K,-3.38%
"Dec 29, 2023",628,631,633.5,621.5,34.75K,-0.55%
"Dec 28, 2023",631.5,624.25,636.25,621.75,32.25K,1.36%
"Dec 27, 2023",623,636,637.5,619.25,38.06K,-2.08%
"Dec 26, 2023",636.25,615,639.75,611.5,40.67K,3.25%
"Dec 22, 2023",616.25,612.5,618.25,610.75,26.13K,0.61%
"Dec 21, 2023",612.5,611.5,617.25,610.25,33.65K,0.41%
"Dec 20, 2023",610,622.5,625.25,609,39.37K,-2.05%
"Dec 19, 2023",622.75,618.25,624.25,611.25,42.92K,0.93%
"Dec 18, 2023",617,629.75,632,614.75,43.59K,-1.95%
"Dec 15, 2023",629.25,616,630,610.75,52.71K,5.93%
"Dec 14, 2023",594,608,619.5,606.5,0.15K,1.50%
"Dec 13, 2023",585.25,624.25,626.5,602.5,0.21K,-3.58%
"Dec 12, 2023",607,609.75,628.75,608.25,0.15K,2.66%
"Dec 11, 2023",591.25,632,633.25,607.25,0.20K,-3.86%
"Dec 08, 2023",615,618.75,619,618,0.02K,-1.76%
"Dec 07, 2023",626,622.75,622.75,622.75,0.09K,1.66%
"Dec 06, 2023",615.75,625.75,634,621.75,0.05K,-0.81%
"Dec 05, 2023",620.75,601,619.25,597.75,0.58K,4.20%
"Dec 04, 2023",595.75,583,583,583,0.37K,3.25%
"Dec 01, 2023",577,569.25,577.5,569.25,0.67K,-3.51%
"Nov 30, 2023",598,585.75,599,582,78.52K,2.09%
"Nov 29, 2023",585.75,573.75,587.5,571.5,72.63K,2.40%
"Nov 28, 2023",572,562,574,557.25,84.85K,1.96%
"Nov 27, 2023",561,578.5,582,556.25,97.01K,-2.82%
"Nov 24, 2023",577.25,582.75,584.5,575,45.78K,-1.24%
"Nov 22, 2023",584.5,584,591.5,583,57.25K,0.30%
"Nov 21, 2023",582.75,571,584.75,568.75,69.09K,2.15%
"Nov 20, 2023",570.5,575.75,579.75,567.75,56.49K,-0.91%
"Nov 17, 2023",575.75,582,585.25,574.5,63.69K,-0.90%
"Nov 16, 2023",581,590.25,590.75,575.25,67.93K,-1.19%
"Nov 15, 2023",588,598.75,604.5,585.75,80.04K,2.80%
"Nov 14, 2023",572,581,585,570.25,65.17K,-1.21%
"Nov 13, 2023",579,575,582,567.25,80.61K,0.65%
"Nov 10, 2023",575.25,581.75,583,570.75,68.74K,-0.95%
"Nov 09, 2023",580.75,590,592.5,573,85.08K,-1.94%
"Nov 08, 2023",592.25,571.5,598.75,570.25,144.37K,3.86%
"Nov 07, 2023",570.25,574,582.25,564.5,106.30K,-0.96%
"Nov 06, 2023",575.75,573,577.75,566.5,68.70K,0.57%
"Nov 03, 2023",572.5,565.75,574.5,563.75,41.97K,1.24%
"Nov 02, 2023",565.5,562.25,569.5,557.25,53.49K,0.67%
"Nov 01, 2023",561.75,557.5,564.75,554.75,58.78K,0.99%
